Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S204070907,American Coot,Fulica americana,5500,X,US-MA,Suffolk,L38352175,Resovour,42.335302,-71.162599,2024-11-30,,eBird - Casual Observation,,0,,,1
S262834775,Killdeer,Charadrius vociferus,5827,X,US-MA,Essex,L50488976,Marsh Off Lot 1,42.789885,-70.810543,2025-07-26,09:48 AM,eBird - Casual Observation,,0,,,1
S266151667,Killdeer,Charadrius vociferus,5827,X,US-MA,Hampshire,L51274525,Observation Tower,42.291017,-72.64479,2025-08-09,04:03 PM,eBird - Casual Observation,,0,,,1
S273945941,Solitary Sandpiper,Tringa solitaria,6129,X,US-MA,Middlesex,L32450190,Cambridge,42.372441,-71.074891,2025-09-17,05:51 PM,eBird - Casual Observation,,0,,,1
S148234893,Solitary Sandpiper,Tringa solitaria,6129,X,US-MA,Middlesex,L26787961,Minuteman Trail,42.40495,-71.147056,2023-08-27,,eBird - Casual Observation,,0,,,1
S273181400,Lesser Yellowlegs,Tringa flavipes,6145,X,US-MA,Barnstable,L35377900,Mass Audubon Wellfleet Bay,41.882487,-69.995504,2025-09-13,,eBird - Casual Observation,,0,,,1
S262834586,Least Sandpiper,Calidris minutilla,6226,X,US-MA,Essex,L50488928,Marsh Off Lot 1,42.791705,-70.810317,2025-07-26,,eBird - Casual Observation,,0,,,1
S262824530,Least Sandpiper,Calidris minutilla,6226,X,US-MA,Essex,L50486233,Salt Marsh Live Parking Only,42.775289,-70.806791,2025-07-26,09:16 AM,eBird - Casual Observation,,0,,,1
S241915728,Black-headed Gull,Chroicocephalus ridibundus,6474,X,DK-01,København,L45807987,Train Stop,55.683088,12.57298,2025-05-24,,eBird - Casual Observation,,0,,,1
S167725004,Ring-billed Gull,Larus delawarensis,6521,X,CA-QC,Montréal,L30450978,Le Grand Rue,45.508306,-73.550387,2024-04-08,,eBird - Casual Observation,,0,,,1
S278921007,Ring-billed Gull,Larus delawarensis,6521,X,CA-ON,Ottawa,L53956191,Farm,45.387989,-75.710101,2025-10-12,10:53 AM,eBird - Casual Observation,,0,,,1
S176182502,Western Gull,Larus occidentalis,6528,X,US-CA,San Francisco,L32120671,Pier 39,37.810967,-122.411158,2024-05-21,,eBird - Casual Observation,,0,,,1
